StateWellNumber,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Aquifer,FN_ID
2707604,32.945556,-102.151667,0.1,Loamy fine sand,1754,0,1,3,792,1097,1555,75,85.199997,90,4,9,12,0.4,0.6,0.9,42,92,141,0.11,0.13,0.15,37,43,48,16,21,25,1,5,7,0.2,0.2,0,1,2,6.6,7.4,8.4,445.519989,16.25,Dockum,1527
2711506,32.814445,-102.669722,1.3,Loamy fine sand,5355,0,1,3,792,1097,1524,78,84.900002,88,5,10.9,14,0.3,0.5,0.7,42,92,141,0.11,0.13,0.15,37,42,48,17,23,26,2,6,9,0.32,0.32,0,0.5,1,6.6,8,8.4,414.095001,16.359999,Dockum,1426
2734201,32.480278,-102.831389,0.4,Sandy clay loam,4625,0,4,8,762,877,991,0,55.799999,0,18,26.5,35,0,0.25,0.5,4,9,14,0.1,0.13,0.15,0,37,0,20,27.5,35,7,12.5,18,0.2,0.2,0,0,0,6.6,7.5,8.4,378.565002,16.9,Dockum,1189
2750201,32.219167,-102.831389,1.19,Sandy clay loam,800,0,4,8,762,877,991,0,55.799999,0,18,26.5,35,0,0.25,0.5,4,9,14,0.1,0.13,0.15,0,37,0,20,27.5,35,7,12.5,18,0.2,0.2,0,0,0,6.6,7.5,8.4,358.726898,17.25,Dockum,1048
2751602,32.206667,-102.639445,1.85,Sandy clay loam,1556,0,4,8,762,877,991,0,55.799999,0,18,26.5,35,0,0.25,0.5,4,9,14,0.1,0.13,0.15,0,37,0,20,27.5,35,7,12.5,18,0.2,0.2,0,0,0,6.6,7.5,8.4,365.490997,17.65,Dockum,1003
2752103,32.228889,-102.612501,2.65,Sandy clay loam,1634,0,3,5,762,884,1006,0,55.099998,0,20,27.5,35,0.5,0.75,1,4,9,14,0.1,0.13,0.16,0,44,0,20,27.5,35,7,12,17,0.2,0.2,0,0,0,7.9,8.2,8.4,365.975983,17.65,Dockum,1051
2752703,32.160556,-102.602223,0.8,Sandy clay loam,1600,0,4,8,762,877,991,0,55.799999,0,18,26.5,35,0,0.25,0.5,4,9,14,0.1,0.13,0.15,0,37,0,20,27.5,35,7,12.5,18,0.2,0.2,0,0,0,6.6,7.5,8.4,363.651977,17.75,Dockum,1004
2753806,32.146111,-102.439445,2.38,Loam,1482,0,1.5,3,762,1205,1463,30,48.099998,52,15,22.4,26,1.5,2.3,3,4,9,14,0.1,0.14,0.16,44,46,47,28,38,43,9,15,18,0.37,0.37,0,0.5,1,7.4,8,8.4,365.242004,17.84,Dockum,959
2755103,32.213056,-102.218611,2.692,Sandy clay loam,1600,0,3,5,762,884,1006,0,55.099998,0,20,27.5,35,0.5,0.75,1,4,9,14,0.1,0.13,0.16,0,44,0,20,27.5,35,7,12,17,0.2,0.2,0,0,0,7.9,8.2,8.4,381.803894,18.01,Dockum,1009
2755105,32.245278,-102.216389,2.48,Sandy clay loam,1750,0,4,8,762,877,991,0,55.799999,0,18,26.5,35,0,0.25,0.5,4,9,14,0.1,0.13,0.15,0,37,0,20,27.5,35,7,12.5,18,0.2,0.2,0,0,0,6.6,7.5,8.4,383.827881,17.879999,Dockum,1056
